ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
1,Q6062581,1st government of Turkey,1923-10-30,11,,,1924-03-06,11,,,,,Q6065169,2nd government of Turkey,,,,
2,Q6065169,2nd government of Turkey,1924-03-06,11,,,1924-11-22,11,,,Q6062581,1st government of Turkey,Q6060641,3rd government of Turkey,,,,
3,Q6060641,3rd government of Turkey,1924-11-22,11,,,1925-03-03,11,,,Q6065169,2nd government of Turkey,Q6070396,4th government of Turkey,,,,
4,Q6070396,4th government of Turkey,1925-03-03,11,,,1927-11-01,11,,,Q6060641,3rd government of Turkey,Q6073358,5th government of Turkey,,,,
5,Q6073358,5th government of Turkey,1927-11-01,11,,,1930-09-27,11,,,Q6070396,4th government of Turkey,Q6057542,6th government of Turkey,,,,
6,Q6057542,6th government of Turkey,1930-09-27,11,,,1931-05-04,11,,,Q6073358,5th government of Turkey,Q6070996,7th government of Turkey,,,,
7,Q6070996,7th government of Turkey,1931-05-04,11,,,1935-03-01,11,,,Q6057542,6th government of Turkey,Q6065391,8th government of Turkey,,,,
8,Q6065391,8th government of Turkey,1935-03-01,11,,,1937-11-01,11,,,Q6070996,7th government of Turkey,Q6056435,9th government of Turkey,,,,
9,Q6056435,9th government of Turkey,1937-11-01,11,,,1938-11-11,11,,,Q6065391,8th government of Turkey,Q6063041,10th government of Turkey,,,,
10,Q6063041,10th government of Turkey,1938-11-11,11,,,1939-01-25,11,,,Q6056435,9th government of Turkey,Q6052026,11th government of Turkey,,,,
11,Q6052026,11th government of Turkey,1939-01-25,11,,,1939-04-03,11,,,Q6063041,10th government of Turkey,Q6087198,12th government of Turkey,,,,
12,Q6087198,12th government of Turkey,1939-04-03,11,,,1942-07-09,11,,,Q6052026,11th government of Turkey,Q6058147,13th government of Turkey,,,,
13,Q6058147,13th government of Turkey,1942-07-09,11,,,1943-03-09,11,,,Q6087198,12th government of Turkey,Q6084216,14th government of Turkey,,,,
14,Q6084216,14th government of Turkey,1943-03-09,11,,,1946-08-07,11,,,Q6058147,13th government of Turkey,Q6074827,15th government of Turkey,,,,
15,Q6074827,15th government of Turkey,1946-08-07,11,,,1947-09-10,11,,,Q6084216,14th government of Turkey,Q15926023,16th government of Turkey,,,,
16,Q15926023,16th government of Turkey,1947-09-10,11,,,1948-06-10,11,,,Q6074827,15th government of Turkey,Q6056659,17th government of Turkey,,,,
17,Q6056659,17th government of Turkey,1948-06-10,11,,,1949-01-16,11,,,Q15926023,16th government of Turkey,Q6056932,18th government of Turkey,,,,
18,Q6056932,18th government of Turkey,1949-01-16,11,,,1950-05-22,11,,,Q6056659,17th government of Turkey,Q6085350,19th government of Turkey,,,,
19,Q6085350,19th government of Turkey,1950-05-22,11,,,1951-03-09,11,,,Q6056932,18th government of Turkey,Q6093393,20th government of Turkey,,,,
20,Q6093393,20th government of Turkey,1951-03-09,11,,,1954-05-17,11,,,Q6085350,19th government of Turkey,Q6072548,21st government of Turkey,,,,
21,Q6072548,21st government of Turkey,1954-05-17,11,,,1955-12-09,11,,,Q6093393,20th government of Turkey,Q6079658,22nd government of Turkey,,,,
22,Q6079658,22nd government of Turkey,1955-12-09,11,,,1957-11-25,11,,,Q6072548,21st government of Turkey,Q6089929,23rd government of Turkey,,,,
23,Q6089929,23rd government of Turkey,1957-11-25,11,,,1960-05-27,11,,,Q6079658,22nd government of Turkey,Q6089808,24th government of Turkey,,,,
24,Q6089808,24th government of Turkey,1960-05-30,11,,,1961-01-05,11,,,Q6089929,23rd government of Turkey,Q6087656,25th government of Turkey,,,,
25,Q6087656,25th government of Turkey,1961-01-05,11,,,1961-11-20,11,,,Q6089808,24th government of Turkey,Q14316011,26th government of Turkey,,,,
26,Q14316011,26th government of Turkey,1961-11-20,11,,,1962-06-25,11,,,Q6087656,25th government of Turkey,Q6089855,27th government of Turkey,,,,
27,Q6089855,27th government of Turkey,1962-01-01,9,1962-01-01,9,1963-01-01,9,,,Q14316011,26th government of Turkey,Q6077581,28th government of Turkey,,,,
28,Q6077581,28th government of Turkey,1963-12-25,11,,,1965-02-20,11,,,Q6089855,27th government of Turkey,Q6088515,29th government of Turkey,,,,
30,Q28854094,30th government of Turkey,1965-01-01,9,1965-01-01,9,1969-01-01,9,,,Q6088515,29th government of Turkey,Q6068444,31st government of Turkey,,,,
29,Q6088515,29th government of Turkey,1965-01-01,9,1965-01-01,9,1965-01-01,9,,,Q6077581,28th government of Turkey,Q28854094,30th government of Turkey,,,,
31,Q6068444,31st government of Turkey,1969-01-01,9,1969-01-01,9,1970-01-01,9,,,Q28854094,30th government of Turkey,Q6079044,32nd government of Turkey,,,,
32,Q6079044,32nd government of Turkey,1970-01-01,9,1970-01-01,9,1971-01-01,9,,,Q6068444,31st government of Turkey,Q6099245,33rd government of Turkey,,,,
34,Q6073566,34th government of Turkey,1971-01-01,9,1971-01-01,9,1972-01-01,9,,,Q6099245,33rd government of Turkey,Q6072118,35th government of Turkey,,,,
33,Q6099245,33rd government of Turkey,1971-01-01,9,1971-01-01,9,1971-01-01,9,,,Q6079044,32nd government of Turkey,Q6073566,34th government of Turkey,,,,
35,Q6072118,35th government of Turkey,1972-01-01,9,1972-01-01,9,1973-01-01,9,,,Q6073566,34th government of Turkey,Q6073232,36th government of Turkey,,,,
36,Q6073232,36th government of Turkey,1973-01-01,9,1973-01-01,9,1974-01-01,9,,,Q6072118,35th government of Turkey,Q6087053,37th government of Turkey,,,,
37,Q6087053,37th government of Turkey,1973-01-01,9,1973-01-01,9,1974-01-01,9,,,Q6073232,36th government of Turkey,Q6077922,38th government of Turkey,,,,
38,Q6077922,38th government of Turkey,1974-01-01,9,1974-01-01,9,1975-01-01,9,,,Q6087053,37th government of Turkey,Q6087499,39th government of Turkey,,,,
39,Q6087499,39th government of Turkey,1975-01-01,9,1975-01-01,9,1977-01-01,9,,,Q6077922,38th government of Turkey,Q6084399,40th government of Turkey,,,,
40,Q6084399,40th government of Turkey,,,1977-06-21,11,1977-07-21,11,,,Q6087499,39th government of Turkey,Q6091274,41st government of Turkey,,,,
41,Q6091274,41st government of Turkey,,,1977-07-21,11,1978-01-05,11,,,Q6084399,40th government of Turkey,Q6093968,42nd government of Turkey,,,,
42,Q6093968,42nd government of Turkey,1978-01-01,9,1978-01-01,9,1979-01-01,9,,,Q6091274,41st government of Turkey,Q6087321,43rd government of Turkey,,,,
43,Q6087321,43rd government of Turkey,1979-01-01,9,1979-01-01,9,1980-01-01,9,,,Q6093968,42nd government of Turkey,Q6093605,44th government of Turkey,,,,
44,Q6093605,44th government of Turkey,1980-01-01,9,1980-01-01,9,1983-01-01,9,,,Q6087321,43rd government of Turkey,Q6094850,45th government of Turkey,,,,
45,Q6094850,45th government of Turkey,1983-01-01,9,1983-01-01,9,1987-01-01,9,,,Q6093605,44th government of Turkey,Q6094270,46th government of Turkey,,,,
46,Q6094270,46th government of Turkey,1987-01-01,9,1987-01-01,9,1989-01-01,9,,,Q6094850,45th government of Turkey,Q6087681,47th government of Turkey,,,,
47,Q6087681,47th government of Turkey,1989-01-01,9,1989-01-01,9,1991-01-01,9,,,Q6094270,46th government of Turkey,Q6090031,48th government of Turkey,,,,
49,Q6089011,49th government of Turkey,1991-01-01,9,1991-01-01,9,1993-01-01,9,,,Q6090031,48th government of Turkey,Q6100540,50th government of Turkey,,,,
48,Q6090031,48th government of Turkey,1991-01-01,9,1991-01-01,9,1991-01-01,9,,,Q6087681,47th government of Turkey,Q6089011,49th government of Turkey,,,,
50,Q6100540,50th government of Turkey,1993-01-01,9,1993-01-01,9,1995-01-01,9,,,Q6089011,49th government of Turkey,Q6079070,51st government of Turkey,,,,
51,Q6079070,51st government of Turkey,1995-01-01,9,1995-01-01,9,1995-01-01,9,,,Q6100540,50th government of Turkey,Q6090904,52nd government of Turkey,,,,
52,Q6090904,52nd government of Turkey,1995-01-01,9,1995-01-01,9,1996-01-01,9,,,Q6079070,51st government of Turkey,Q6098608,53rd government of Turkey,,,,
53,Q6098608,53rd government of Turkey,1996-01-01,9,1996-01-01,9,1996-01-01,9,,,Q6090904,52nd government of Turkey,Q6101839,54th government of Turkey,,,,
54,Q6101839,54th government of Turkey,1996-01-01,9,1996-01-01,9,1997-01-01,9,,,Q6098608,53rd government of Turkey,Q6045938,55th government of Turkey,,,,
55,Q6045938,55th government of Turkey,1997-01-01,9,1997-01-01,9,1999-01-01,9,,,Q6101839,54th government of Turkey,Q6034537,56th government of Turkey,,,,
56,Q6034537,56th government of Turkey,1999-01-01,9,1999-01-01,9,1999-01-01,9,,,Q6045938,55th government of Turkey,Q6103056,57th government of Turkey,,,,
57,Q6103056,57th government of Turkey,1999-01-01,9,1999-01-01,9,2002-01-01,9,,,Q6034537,56th government of Turkey,Q1719942,Cabinet Gül,,,,
58,Q1719942,Cabinet Gül,2002-01-01,9,2002-01-01,9,2003-01-01,9,,,Q6103056,57th government of Turkey,Q661393,Cabinet Erdoğan I,,,,
59,Q661393,Cabinet Erdoğan I,2003-01-01,9,2003-01-01,9,2007-01-01,9,,,Q1719942,Cabinet Gül,Q6431527,Cabinet Erdoğan II,,,,
60,Q6431527,Cabinet Erdoğan II,2007-08-29,11,2007-01-01,9,2011-06-14,11,2011-01-01,9,Q661393,Cabinet Erdoğan I,Q1719882,Cabinet Erdoğan III,,,,
61,Q1719882,Cabinet Erdoğan III,2011-07-06,11,,,2014-08-29,11,,,Q6431527,Cabinet Erdoğan II,Q17666920,Cabinet Davutoğlu I,,,,
62,Q17666920,Cabinet Davutoğlu I,2014-08-29,11,,,2015-08-28,11,,,Q1719882,Cabinet Erdoğan III,Q20875123,2015 interim election government of Turkey,,,,
63,Q20875123,2015 interim election government of Turkey,2015-08-28,11,,,2015-11-24,11,,,Q17666920,Cabinet Davutoğlu I,Q21504454,Third Davutoğlu Cabinet,,,,
64,Q21504454,Third Davutoğlu Cabinet,2015-11-24,11,,,2016-05-24,11,,,Q20875123,2015 interim election government of Turkey,Q24204734,Yıldırım Cabinet,,,,
65,Q24204734,Yıldırım Cabinet,2016-05-24,11,,,2018-07-10,11,,,Q21504454,Third Davutoğlu Cabinet,Q55435983,Cabinet Erdoğan IV,,,,
65,Q24204734,Yıldırım Cabinet,2016-05-24,11,,,2018-07-09,11,,,Q21504454,Third Davutoğlu Cabinet,Q55435983,Cabinet Erdoğan IV,,,,
66,Q55435983,Cabinet Erdoğan IV,2018-07-10,11,,,,,,,Q24204734,Yıldırım Cabinet,,,,,,
